15,6,20
9,5,30
27,8,20
8,5,34
11,32,5
22,20,4
20,22,31
34,5,16
12,5,11
28,4,22
3,34,20
20,5,3
16,4,34
15,12,34
34,11,32
32,3,11
28,20,4
16,8,30
21,20,4
15,34,1
20,32,12
20,15,24
5,2,9
11,24,12
9,0,3
0,12,15
20,24,6
16,20,29
27,23,4
9,5,32
8,20,28
12,34,15
19,20,5
26,11,17
31,20,4
15,3,18
16,20,10
15,34,16
34,7,20
6,34,30
21,4,20
17,20,15
31,4,34
33,2,4
20,2,5
30,5,20
15,1,25
15,2,8
30,20,27
20,27,19
2,20,15
20,4,2
2,4,20
4,31,20
34,32,9
20,18,15
20,4,6
32,3,20
12,5,11
8,20,3
11,20,3
13,5,11
2,20,22
20,7,26
26,4,2
15,20,31
25,20,3
21,34,20
6,4,20
29,20,24
20,17,15
5,20,25
6,20,30
19,20,5
18,29,20
20,21,17
8,20,33
2,20,22
5,21,20
17,26,15
12,24,20
11,27,25
10,34,13
5,9,32
28,19,8
14,12,25
34,13,20
7,15,20
20,3,12
32,20,5
7,11,5
2,20,27
20,17,15
22,17,20
18,10,20
12,1,20
20,2,3
31,32,5
8,20,30
31,11,5
29,20,22
21,20,12
34,2,22
5,4,22
20,5,32
1,15,11
4,20,22
20,29,17
4,20,22
20,5,21
34,20,9
9,5,20
29,20,3
34,9,11
15,14,8
4,25,11
20,2,22
29,20,3
20,7,5
10,15,1
2,33,18
18,20,5
29,20,3
8,20,4
33,5,27
5,20,7
24,20,9
0,15,12
2,20,33
11,20,24
22,20,4
29,20,5
20,6,11
28,20,4
20,22,14
23,11,5
16,34,5
20,5,9
8,20,3
14,20,4
26,27,20
6,20,5
29,14,4
20,9,7
12,25,17
9,20,5
4,20,5
7,20,34
26,2,7
20,24,22
6,5,27
30,3,20
29,20,18
28,4,6
30,33,18
4,20,27
18,20,3
16,13,4
34,3,20
29,20,8
10,11,3
20,6,34
15,11,23
32,20,6
24,15,20
28,33,20
26,22,4
33,17,2
5,15,11
29,8,20
29,4,20
20,10,9
17,16,20
9,18,20
34,15,1
21,22,20
24,20,0
20,15,24
21,5,4
4,6,20
8,16,17
29,20,24
8,20,9
9,28,20
3,5,25
3,8,5
25,12,20
5,25,15
16,20,29
7,20,34
31,20,15
0,20,32
29,8,4
6,20,5
20,26,29
4,2,11
14,20,4
18,20,33
20,5,4
2,15,34
34,15,2
22,20,17
14,20,5
22,2,6
26,4,33
5,25,0
34,15,9
8,18,20
11,3,9
29,4,22
3,34,20
12,25,20
4,18,10
34,5,20
30,34,5
20,15,6
20,9,5
26,18,4
8,20,31
24,20,34
15,16,18
5,34,19
3,32,20
18,5,29
18,10,17
29,17,15
20,5,21
32,20,6
29,20,5
26,4,19
14,20,4
7,30,5
0,5,32
13,15,0
9,34,32
4,5,11
20,27,22
31,10,4
17,12,15
7,30,20
29,5,16
17,7,20
0,15,1
20,5,6
20,24,4
18,15,20
15,11,12
18,3,10
10,5,2
8,18,20
9,20,5
15,1,20
13,15,20
1,20,3
7,20,5
15,25,20
6,9,20
16,20,5
20,5,1
9,8,5
25,20,5
5,23,11
20,5,15
12,23,20
26,14,20
2,4,27
15,20,18
0,20,34
20,22,15
8,20,16
11,12,32
7,1,20
8,12,5
2,15,17
8,20,11
22,20,2
24,20,22
3,11,12
2,5,20
20,15,1
22,25,5
15,20,17
29,30,4
20,22,11
6,11,20
17,20,10
12,1,0
15,5,11
22,11,15
15,0,2
8,4,5
14,20,15
12,11,25
26,3,23
5,12,34
20,6,30
20,1,0
5,27,11
25,2,17
16,12,15
20,2,33
14,12,20
32,11,0
31,20,15
20,32,6
9,3,20
33,2,22
15,1,20
7,20,4
4,15,6
8,9,13
25,11,27
28,20,14
15,5,24
31,28,30
15,23,20
15,8,34
10,21,5
10,33,22
17,22,5
14,12,25
7,23,15
22,20,0
17,4,20
19,5,20
14,15,6
22,18,20
17,5,0
5,25,9
24,20,9
20,22,15
15,20,17
12,17,20
28,4,5
5,32,11
23,6,14
22,5,18
33,2,5
20,15,0
20,27,25
7,15,20
28,20,15
15,20,5
5,33,10
20,27,25
33,8,20
6,8,24
17,4,20
6,20,32
15,1,11
22,20,30
33,8,4
28,20,27
12,18,10
29,20,16
33,20,8
25,27,15
31,20,6
21,20,4
26,33,4
30,20,4
26,2,17
29,20,28
15,4,17
20,6,22
34,20,2
11,32,31
11,32,20
22,19,17
20,24,15
20,28,22
15,20,5
27,20,11
16,20,33
4,30,31
32,30,5
11,1,20
25,5,12
22,2,33
31,20,15
5,21,9
29,15,4
14,22,23
14,4,12
19,5,20
4,23,20
15,20,7
28,14,22
25,24,20
32,13,15
23,4,27
2,20,6
30,20,15
20,15,5
20,18,8
18,10,20
26,17,2
33,20,4
32,6,11
11,32,5
27,20,2
1,32,15
6,20,9
25,4,11
20,6,22
19,17,4
0,5,32
3,4,20
31,25,27
34,18,5
14,20,5
6,22,15
19,28,22
10,11,23
4,33,30
25,1,7
15,17,12
8,30,20
29,15,5
20,34,0
28,15,20
21,25,20
20,27,5
33,10,4
0,5,32
4,22,33
25,12,1
20,5,11
15,32,20
33,20,4
15,11,7
3,34,32
6,9,13
20,11,4
33,3,2
24,3,11
3,11,27
23,20,3
34,9,20
10,2,33
24,5,11
2,12,15
7,5,20
32,34,15
27,2,20
12,17,15
15,3,9
33,20,4
20,30,15
8,20,4
14,5,20
27,20,26
20,4,31
6,22,24
25,15,20
18,10,17
34,7,15
8,20,28
0,32,4
17,20,22
4,14,6
3,27,11
0,20,19
33,2,5
31,30,23
20,6,15
25,11,9
19,5,4
26,27,4
22,21,6
23,20,5
33,4,8
31,22,4
31,22,16
33,26,4
24,20,15
33,4,22
19,17,20
6,7,20
33,20,10
20,12,28
20,28,16
22,17,4
24,12,6
18,30,8
17,15,5
27,24,13
15,1,18
4,28,20
14,26,20
25,20,5
15,31,17
20,32,0
23,20,6
33,4,10
2,26,5
14,20,5
15,0,34
2,33,20
3,9,8
18,20,5
17,20,5
18,20,5
26,4,11
26,4,20
25,15,22
13,34,20
17,15,20
20,17,2
25,11,15
32,3,11
20,27,23
20,12,5
2,18,5
0,32,11
33,4,20
25,15,12
8,5,6
11,12,20
6,32,9
24,6,20
5,27,9
18,8,5
4,20,11
22,4,9
15,20,29
2,15,20
9,5,1
20,9,4
0,5,15
2,33,28
5,25,27
2,22,8
4,20,22
29,20,16
26,4,30
0,20,13
34,11,31
16,20,15
31,4,5
15,20,5
10,2,8
25,15,20
20,6,2
29,20,5
6,34,5
16,8,3
12,0,11
24,32,5
20,22,31
9,20,5
15,12,3
6,22,20
24,6,20
